Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
BMW M440i,3.0,4.0,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,27,34,30,6,No,296
BMW M440i Convertible,3.0,4.0,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,27,33,29,6,No,301
BMW M440i Gran Coupe,3.0,4.0,SemiAuto-8,2WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,26,32,28,6,No,312
BMW M440i xDrive Coupe,3.0,4.0,SemiAuto-8,4WD,Gasoline,CA,OT,Other,SBMXJ03.0B5P,small car,6,26,33,29,6,No,301
BMW M5,4.4,8.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SBMXV04.4H9X,midsize car,4,12/45,17/57,14/50,6,No,285
BMW M8 Competition Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4SM5,small car,2,15,22,17,3,No,517
BMW M8 Competition Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4SM5,small car,2,15,22,17,3,No,517
BMW M8 Competition Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4SM5,midsize car,2,15,22,17,3,No,517
BMW M850i xDrive,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4N63,small car,2,17,24,19,4,No,456
BMW M850i xDrive Convertible,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4N63,small car,2,17,24,19,4,No,458
BMW M850i xDrive Gran Coupe,4.4,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SBMXV04.4N63,midsize car,2,17,24,19,4,No,458
