Model,Displ,Cyl,Trans,Drive,Fuel,Cert Region,Stnd,Stnd Description,Underhood ID,Veh Class,Air Pollution Score,City MPG,Hwy MPG,Cmb MPG,Greenhouse Gas Score,SmartWay,Comb CO2
GMC Hummer EV SUV MT Tires,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SGMXT00.0009,standard SUV,10,53,43,48,10,Elite,0
GMC Sierra,2.7,4.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.7100,pickup,6,17,21,19,4,No,470
GMC Sierra 4WD Mud Terrain Tires,2.7,4.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SGMXT02.7100,pickup,6,16,17,16,3,No,538
GMC Sierra AT4X,3.0,6.0,Auto-10,4WD,Diesel,CA,L3ULEV70,California LEV-III ULEV70,SGMXT03.0355,pickup,4,19,20,19,3,No,524
HONDA CR-V,1.5,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXT01.5M8T,small SUV,6,28,34,30,6,No,290
HONDA CR-V e-FCEV,-1.0,-1.0,Auto-1,2WD,Electricity/Hydrogen,FA,T3B0,Federal Tier 3 Bin 0,SHNXV00.0RRG,small SUV,10,94,79,87,10,Elite,0
HONDA Civic 4Dr,1.5,4.0,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHNXV01.5SDC,midsize car,5,27,37,31,6,No,285
HONDA Civic 5Dr,2.0,4.0,Man-6,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHNXV02.0TDC,large car,5,22,28,24,5,No,364
HONDA HR-V,2.0,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV02.02EC,station wagon,6,26,32,28,6,No,311
HONDA Odyssey,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.5R4C,minivan,4,19,28,22,5,No,395
HONDA Passport,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.53TC,small SUV,4,19,24,21,4,No,416
HONDA Pilot,3.5,6.0,SemiAuto-10,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV03.513D,small SUV,6,19,27,22,5,No,402
HONDA Pilot AWD Touring/Elite/Black,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV03.513D,standard SUV,6,19,25,21,4,No,422
HONDA Pilot AWD TrailSport,3.5,6.0,SemiAuto-10,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHNXV03.513D,standard SUV,6,18,23,20,4,No,444
HONDA Ridgeline,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.53TC,pickup,4,18,24,21,4,No,441
HONDA Ridgeline TrailSport,3.5,6.0,SemiAuto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHNXT03.53TC,pickup,4,18,23,20,4,No,446
HYUNDAI Elantra,1.6,4.0,AMS-7,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHYXV01.6CC7,midsize car,4,28,35,31,6,No,288
HYUNDAI Elantra Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXV01.6C13,midsize car,6,49,52,50,8,Yes,177
HYUNDAI Elantra Hybrid Blue,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXV01.6C13,midsize car,6,51,58,54,8,Yes,165
HYUNDAI Elantra N,2.0,4.0,AMS-8,2WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SHYXV02.0CG8,midsize car,2,20,27,23,5,No,392
HYUNDAI Ioniq 5 N,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0W04,small SUV,10,84,72,78,10,Elite,0
"HYUNDAI Ioniq 6 (18"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0201,midsize car,10,144,120,132,10,Elite,0
"HYUNDAI Ioniq 6 (20"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0201,midsize car,10,123,100,111,10,Elite,0
HYUNDAI Ioniq 6 Standard Range,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0200,midsize car,10,151,120,135,10,Elite,0
HYUNDAI Kona,1.6,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT01.6KC3,small SUV,6,26,32,28,6,No,315
"HYUNDAI Kona Electric (17"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0K01,small SUV,10,129,103,116,10,Elite,0
"HYUNDAI Kona Electric (19"" Wheels)",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0K01,small SUV,10,113,93,103,10,Elite,0
HYUNDAI Kona Electric Standard Range,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SHYXV00.0K00,small SUV,10,131,105,118,10,Elite,0
HYUNDAI Palisade,3.8,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SHYXT03.8NL5,small SUV,5,19,26,22,5,No,403
HYUNDAI Santa Cruz,2.5,4.0,AMS-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT02.5VP3,small SUV,6,19,27,22,5,No,406
HYUNDAI Santa Fe,2.5,4.0,AMS-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT02.5MP3,small SUV,6,20,29,24,5,No,376
HYUNDAI Santa Fe Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXV01.6M13,small SUV,6,36,35,36,7,No,249
HYUNDAI Santa Fe XRT,2.5,4.0,AMS-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT02.5MP3,small SUV,6,19,26,22,5,No,409
HYUNDAI Sonata,2.5,4.0,AMS-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SHYXV02.5EP7,large car,4,23,32,27,5,No,333
HYUNDAI Sonata Hybrid,2.0,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXV02.0E13,large car,6,44,51,47,8,Yes,188
HYUNDAI Tuscon,2.5,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT02.5LR3,small SUV,6,25,33,28,6,No,322
HYUNDAI Tuscon Hybrid,1.6,4.0,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT01.6L13,small SUV,6,35,35,35,7,No,253
HYUNDAI Tuscon Hybrid Blue,1.6,4.0,AMS-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SHYXT01.6L13,small SUV,6,38,38,38,7,No,234
HYUNDAI Tuscon Plug-in Hybrid,1.6,4.0,AMS-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SHYXT01.6L2T,small SUV,6,35/80,35/73,35/77,9,Yes,103
INFINITI QX55,2.0,4.0,SCV-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SNSXT02.0AVC,small SUV,5,22,28,25,5,No,366
INFINITI QX60,2.0,4.0,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SNSXT02.0AVD,standard SUV,5,22,28,24,5,No,371
INFINITI QX80,3.5,6.0,SemiAuto-9,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SNSXT03.5AWA,standard SUV,5,16,20,18,4,No,504
JAGUAR F-Pace,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXJ02.0RTX,small SUV,6,22,27,24,5,No,376
JAGUAR F-Pace MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXJ03.0FSC,small SUV,6,19,25,21,4,No,420
JAGUAR F-Pace SVR,5.0,8.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SJLXJ05.0FSM,small SUV,2,15,21,17,3,No,519
JEEP Compass,2.0,4.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT02.05P1,small SUV,6,24,32,27,5,No,330
JEEP Grand Cherokee,2.0,4.0,Auto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SCRXT02.05PH,standard SUV,6,23/57,24/56,23/56,8,Yes,177
JEEP Grand Cherokee L,3.6,6.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.65P5,standard SUV,6,19,26,21,4,No,416
JEEP Grand Wagoneer,3.0,6.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.05P2,standard SUV,6,14,20,17,3,No,537
JEEP Grand Wagoneer L,3.0,6.0,Auto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.05P2,standard SUV,6,14,20,17,3,No,537
JEEP Wagoneer,3.0,6.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.05P4,standard SUV,6,17,24,20,4,No,453
JEEP Wagoneer L,3.0,6.0,Auto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SCRXT03.05P4,standard SUV,6,17,24,20,4,No,453
KIA Carnival,3.5,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SKMXT03.5KU5,minivan,5,18,26,21,4,No,426
KIA Carnival Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXT01.6K13,minivan,6,34,31,33,6,No,274
KIA EV9 Long Range AWD,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SKMXV00.0300,standard SUV,10,91,75,83,10,Elite,0
KIA EV9 Long Range AWD GT-Line,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SKMXV00.0300,standard SUV,10,88,72,80,10,Elite,0
KIA EV9 Long Range RWD,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SKMXV00.0301,standard SUV,10,100,78,89,10,Elite,0
KIA EV9 Standard Range RWD,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SKMXV00.0302,standard SUV,10,99,77,88,10,Elite,0
KIA K4,2.0,4.0,SCV-1,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXV02.0CE3,midsize car,6,29,39,33,6,No,273
KIA K5,2.5,4.0,AMS-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SKMXV02.5DP7,large car,4,23,33,27,5,No,331
KIA Niro,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXV01.6213,small SUV,6,53,45,49,8,Yes,181
KIA Niro Electric,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SKMXV00.0200,small SUV,10,126,101,113,10,Elite,0
KIA Niro FE,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXV01.6213,small SUV,6,53,54,53,8,Yes,167
KIA Niro Plug-in Hybrid,1.6,4.0,AMS-6,2WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SKMXV01.622T,small SUV,6,49/113,47/102,48/108,10,Yes,71
KIA Seltos,1.6,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXT01.6NC3,small SUV,6,24,27,25,5,No,350
KIA Sorento,2.5,4.0,AMS-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXT02.5JP3,small SUV,6,20,29,23,5,No,382
KIA Sorento Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXV01.6J13,small SUV,6,36,36,36,7,No,246
KIA Sorento Plug-in Hybrid,1.6,4.0,AMS-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SKMXV01.6J2T,small SUV,6,33/77,34/71,33/74,9,Yes,111
KIA Soul,2.0,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXV02.0BE3,station wagon,6,27,33,30,6,No,302
KIA Soul Eco dynamics,2.0,4.0,CVT,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXV02.0BE3,station wagon,6,29,35,31,6,No,287
KIA Sportage,2.5,4.0,SemiAuto-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXT02.5PR3,small SUV,6,25,32,28,6,No,317
KIA Sportage Hybrid,1.6,4.0,AMS-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXT01.6P13,small SUV,6,42,44,43,7,No,206
KIA Sportage Plug-in Hybrid,1.6,4.0,AMS-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SKMXT01.6P2T,small SUV,6,36/88,35/79,35/84,9,Yes,96
KIA Sportage X-pro,2.5,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SKMXT02.5PR3,small SUV,6,23,30,26,5,No,344
LAMBORGHINI Urus SE,4.0,8.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3ULEV125,California LEV-III ULEV125,SVGAT04.0LAA,standard SUV,2,19/46,21/50,20/48,7,No,251
LAND ROVER Defender 110,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXT02.0RTW,standard SUV,6,18,20,19,4,No,474
LAND ROVER Defender 90,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXT02.0RTW,standard SUV,6,18,21,19,4,No,465
LAND ROVER Discovery,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXT02.0RTW,standard SUV,6,19,24,21,4,No,421
LAND ROVER Discovery MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXT03.0HTR,standard SUV,6,17,23,19,4,No,457
LAND ROVER Discovery Sport,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXT02.0RTV,small SUV,6,19,23,20,4,No,437
LAND ROVER Range Rover Evoque,2.0,4.0,SemiAuto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXT02.0RTV,small SUV,6,20,27,22,5,No,398
LAND ROVER Range Rover LWB MHEV,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SJLXT04.4GTG,standard SUV,5,16,22,18,4,No,501
LAND ROVER Range Rover MHEV,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SJLXT04.4GTG,standard SUV,5,16,23,19,4,No,477
LAND ROVER Range Rover P550 PHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SJLXT03.0PTC,standard SUV,6,21/51,22/56,21/53,9,Yes,102
LAND ROVER Range Rover SV LWB MHEV,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SJLXT04.4GTG,standard SUV,5,16,22,18,4,No,501
LAND ROVER Range Rover SV MHEV,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SJLXT04.4GTG,standard SUV,5,16,22,18,4,No,501
LAND ROVER Range Rover Sport MHEV,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SJLXT04.4GTG,standard SUV,5,16,23,19,4,No,477
LAND ROVER Range Rover Sport P460 PHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,SJLXT03.0PTC,standard SUV,6,21/51,22/56,21/53,9,Yes,102
LAND ROVER Range Rover Sport SVR MHEV,4.4,8.0,SemiAuto-8,4WD,Gasoline,FA,T3B50,Federal Tier 3 Bin 50,SJLXT04.4GTG,standard SUV,5,16,22,18,4,No,497
LAND ROVER Range Rover Velar,2.0,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXJ02.0RTX,small SUV,6,22,26,23,5,No,381
LAND ROVER Range Rover Velar P340 MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXJ03.0FSC,small SUV,6,19,26,22,5,No,407
LAND ROVER Range Rover Velar P400 MHEV,3.0,6.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SJLXJ03.0FSC,small SUV,6,19,25,21,4,No,420
LEXUS ES 250,2.5,4.0,SemiAuto-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,STYXV02.5N4A,midsize car,5,24,33,28,6,No,320
LEXUS ES 300h,2.5,4.0,SCV-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXV02.5P33,midsize car,6,43,44,44,7,No,200
LEXUS ES 350,3.5,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,STYXV03.5M5B,midsize car,4,22,32,25,5,No,347
LEXUS ES 350 F Sport,3.5,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,STYXV03.5M5B,midsize car,4,22,31,25,5,No,352
LEXUS NX 250,2.5,4.0,SemiAuto-8,2WD,Gasoline,CA,OT,Other,STYXT02.5E4M,small SUV,5,26,33,28,6,No,311
LEXUS NX 350,2.4,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXJ02.4P3G,small SUV,6,21,28,24,5,No,370
LEXUS NX 350 F Sport,2.4,4.0,SemiAuto-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXJ02.4P3G,small SUV,6,21,28,24,5,No,370
LEXUS NX 350h,2.5,4.0,SCV-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STYXT02.5H3A,small SUV,6,41,37,39,7,No,225
LEXUS NX 450h+,2.5,4.0,SCV-6,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,STYXT02.5P3W,small SUV,6,38/93,33/75,36/84,9,Yes,87
LEXUS UX 300h,2.0,4.0,CVT,2WD,Gasoline,CA,OT,Other,STYXV02.0H3A,small car,6,45,41,43,7,No,204
LINCOLN Aviator,3.0,6.0,SemiAuto-10,2WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SFMXT03.03U2,standard SUV,5,18,25,21,4,No,425
"LUCID Air G Touring XR AWD w/19"" wheels",,,Auto-1,4WD,Electricity,CA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0ZA2,large car,10,129,126,128,10,Elite,0
"LUCID Air G Touring XR AWD w/20"" wheels",,,Auto-1,4WD,Electricity,CA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0ZA2,large car,10,122,117,120,10,Elite,0
"LUCID Air G Touring XR AWD w/21"" wheels",,,Auto-1,4WD,Electricity,CA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0ZA2,large car,10,114,109,112,10,Elite,0
"LUCID Air Pure RWD w/19"" wheels",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0NR1,large car,10,149,142,146,10,Elite,0
"LUCID Air Pure RWD w/20"" wheels",,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0NR1,large car,10,132,125,129,10,Elite,0
LUCID Air Sapphire AWD,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0GJ3,large car,10,108,101,105,10,Elite,0
"LUCID Air Touring AWD w/19"" wheels",,,Auto-1,4WD,Electricity,CA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0ZA2,large car,10,133,130,132,10,Elite,0
"LUCID Air Touring AWD w/20"" wheels",,,Auto-1,4WD,Electricity,CA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0ZA2,large car,10,124,119,121,10,Elite,0
"LUCID Air Touring AWD w/21"" wheels",,,Auto-1,4WD,Electricity,CA,T3B0,Federal Tier 3 Bin 0,SLMUV00.0ZA2,large car,10,119,113,116,10,Elite,0
"MASERATI Grecale Folgore (20"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMAXT00.0182,small SUV,10,80,70,75,10,Elite,0
"MASERATI Grecale Folgore (21"" Wheels)",,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMAXT00.0182,small SUV,10,65,59,62,10,Elite,0
MASERATI Grecale Modena,2.0,4.0,Auto-8,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMAXT02.0DUV,small SUV,4,22,28,24,5,No,365
MASERATI MC20,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMAXV03.0SPR,small car,4,15,25,18,4,No,474
MASERATI MC20 Spyder,3.0,6.0,SemiAuto-8,2WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMAXV03.0SPR,small car,4,15,25,18,4,No,482
MAZDA 3,2.5,4.0,Man-6,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STKXV02.5CDF,midsize car,6,26,36,30,6,No,296
MAZDA CX-50,2.5,4.0,SemiAuto-6,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,STKXT02.5CDD,small SUV,6,25,31,28,6,No,322
MAZDA CX-70,2.5,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,STKXT02.5CDB,standard SUV,6,24/53,27/61,25/56,8,Yes,168
MAZDA CX-90,2.5,4.0,SemiAuto-8,4WD,Gasoline/Electricity,CA,L3SULEV30,California LEV-III SULEV30,STKXT02.5CDB,standard SUV,6,24/53,27/61,25/56,8,Yes,168
MERCEDES-BENZ AMG C43 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMBXV02.0HY7,small car,4,19,27,22,5,No,405
MERCEDES-BENZ AMG CLA 35 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SMBXV02.0HY4,small car,5,22,29,25,5,No,362
MERCEDES-BENZ AMG CLA 45 S 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,CA,L3ULEV125,California LEV-III ULEV125,SMBXV02.0U3B,small car,2,20,28,23,5,No,379
MERCEDES-BENZ AMG EQE 4Matic+,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMBXV00.0ED3,midsize car,10,69,71,70,10,Elite,0
MERCEDES-BENZ AMG EQS 4Matic+,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMBXJ00.0ED2,large car,10,76,81,78,10,Elite,0
MERCEDES-BENZ AMG GLA35 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SMBXV02.0HY4,station wagon,5,22,28,24,5,No,370
MERCEDES-BENZ AMG GLB35 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,CA,L3ULEV50,California LEV-III ULEV50,SMBXV02.0HY4,station wagon,5,21,26,23,5,No,390
MERCEDES-BENZ AMG GLC43 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMBXV02.0HY7,station wagon,4,18,24,21,4,No,433
MERCEDES-BENZ AMG GLE 53 4Matic+,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ03.0HY1,standard SUV,6,18,22,20,4,No,454
MERCEDES-BENZ AMG GLE63 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMBXT04.0HY1,standard SUV,4,14,19,16,3,No,554
MERCEDES-BENZ AMG GLS63 4Matic+,4.0,8.0,Auto-9,4WD,Gasoline,CA,L3ULEV70,California LEV-III ULEV70,SMBXT04.0HY1,standard SUV,4,14,18,15,2,No,578
MERCEDES-BENZ C300,2.0,4.0,Auto-9,2WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SMBXV02.0HY1,small car,7,25,35,29,6,No,307
MERCEDES-BENZ C300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SMBXV02.0HY1,small car,7,24,33,27,5,No,329
MERCEDES-BENZ CLA250,2.0,4.0,AutoMan-8,2WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ02.0HY3,small car,6,26,36,30,6,No,298
MERCEDES-BENZ CLA250 4Matic,2.0,4.0,AutoMan-8,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXJ02.0HY3,small car,6,25,34,29,6,No,311
MERCEDES-BENZ CLE 300 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SMBXV02.0HY1,small car,7,23,32,26,5,No,340
MERCEDES-BENZ CLE 450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXV03.0HY3,small car,6,23,32,26,5,No,338
MERCEDES-BENZ E350,2.0,4.0,Auto-9,2WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SMBXV02.0HY1,midsize car,7,25,33,28,6,No,316
MERCEDES-BENZ E350 4Matic,2.0,4.0,Auto-9,4WD,Gasoline,CA,L3SULEV20,California LEV-III SULEV20,SMBXV02.0HY1,midsize car,7,24,33,27,5,No,327
MERCEDES-BENZ E450 4Matic,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXV03.0HY3,midsize car,6,22,31,25,5,No,355
MERCEDES-BENZ E450 4Matic All-Terrain Wagon,3.0,6.0,Auto-9,4WD,Gasoline,CA,L3SULEV30,California LEV-III SULEV30,SMBXV03.0HY3,station wagon,6,22,31,25,5,No,351
MERCEDES-BENZ EQE 350 4Matic,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMBXV00.0ED2,midsize car,10,87,85,86,10,Elite,0
MERCEDES-BENZ EQE 350+,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMBXV00.0ED1,station wagon,10,98,87,93,10,Elite,0
MERCEDES-BENZ EQE 500 4Matic,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMBXV00.0ED2,midsize car,10,85,84,85,10,Elite,0
MERCEDES-BENZ EQS 450 4Matic,,,Auto-1,4WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMBXJ00.0ED2,large car,10,91,93,92,10,Elite,0
MERCEDES-BENZ EQS 450+,,,Auto-1,2WD,Electricity,FA,T3B0,Federal Tier 3 Bin 0,SMBXJ00.0ED1,large car,10,98,98,98,10,Elite,0
